epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,1778.34,0.31598,0.38902,0.11325,0.0011,0.09926,0.99762,0.99979,0.99426,0.96728,0.99762,0.99979,0.99426,0.93975,0.27197,0.39465,0.08763,0.00168,0,0.0005876,0.0005876,0.0005876
109,1794.64,0.31898,0.39185,0.11665,0.00112,0.09716,0.99525,0.99903,0.99453,0.9693,0.99525,0.99903,0.99453,0.94201,0.27141,0.39456,0.08939,0.00169,0,0.0005744,0.0005744,0.0005744
110,1810.98,0.3127,0.38852,0.11154,0.00111,0.1081,0.99867,0.99762,0.99462,0.97047,0.99867,0.99762,0.99462,0.93933,0.26701,0.39694,0.08648,0.00166,0,0.0005612,0.0005612,0.0005612
111,1827.34,0.32483,0.3902,0.11504,0.00107,0.09968,0.99525,0.99981,0.99453,0.97001,0.99525,0.99981,0.99453,0.94272,0.27107,0.39181,0.08982,0.00167,0,0.000548,0.000548,0.000548
112,1843.45,0.31907,0.39619,0.11765,0.00108,0.10193,0.99881,0.99742,0.99469,0.96996,0.99881,0.99742,0.99469,0.93949,0.27068,0.39328,0.08815,0.0017,0,0.0005348,0.0005348,0.0005348
113,1859.94,0.31979,0.40206,0.11264,0.00114,0.1017,0.99643,0.99687,0.99498,0.96859,0.99643,0.99687,0.99498,0.94372,0.27351,0.39188,0.09019,0.0017,0,0.0005216,0.0005216,0.0005216
114,1876.1,0.32441,0.39803,0.11839,0.00111,0.09679,0.99487,1,0.99453,0.9685,0.99487,1,0.99453,0.94397,0.27358,0.39187,0.09029,0.00173,0,0.0005084,0.0005084,0.0005084
115,1892.72,0.32299,0.39583,0.11183,0.00107,0.10116,1,0.99726,0.995,0.96971,1,0.99726,0.995,0.94305,0.26912,0.39131,0.08679,0.00167,0,0.0004952,0.0004952,0.0004952
116,1908.91,0.32,0.40202,0.11736,0.00109,0.10519,0.99644,0.9998,0.99489,0.96923,0.99644,0.9998,0.99489,0.94091,0.26946,0.39181,0.08758,0.00166,0,0.000482,0.000482,0.000482
117,1925.25,0.32266,0.3932,0.11134,0.00109,0.10891,0.99881,0.99877,0.9945,0.9557,0.99881,0.99877,0.9945,0.94545,0.30743,0.40051,0.09712,0.00189,0,0.0004688,0.0004688,0.0004688
118,1941.43,0.3191,0.39074,0.1135,0.0011,0.1017,0.9974,0.99881,0.99385,0.96968,0.9974,0.99881,0.99385,0.9401,0.26778,0.39196,0.08842,0.00165,0,0.0004556,0.0004556,0.0004556
