epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,1267.81,0.35702,0.37428,0.13486,0.00122,0.11065,0.99448,0.99404,0.99487,0.95675,0.99448,0.99404,0.99487,0.91738,0.2983,0.35887,0.1038,0.00178,0,0.0003764,0.0003764,0.0003764
84,1283,0.35083,0.36979,0.13332,0.00117,0.1019,0.99053,0.99708,0.99482,0.95914,0.99053,0.99708,0.99482,0.90374,0.29167,0.36097,0.10325,0.00173,0,0.0003566,0.0003566,0.0003566
85,1297.98,0.35964,0.36922,0.13707,0.00121,0.10893,0.99523,0.99496,0.99489,0.96301,0.99523,0.99496,0.99489,0.90496,0.28271,0.36103,0.09917,0.00167,0,0.0003368,0.0003368,0.0003368
86,1312.78,0.36142,0.35626,0.1303,0.00119,0.10467,0.99285,0.99317,0.99487,0.96463,0.99285,0.99317,0.99487,0.90853,0.28443,0.36285,0.10168,0.0017,0,0.000317,0.000317,0.000317
87,1327.91,0.35804,0.37675,0.13596,0.00117,0.11295,0.99628,0.99881,0.99495,0.9635,0.99628,0.99881,0.99495,0.90533,0.281,0.36067,0.09563,0.00166,0,0.0002972,0.0002972,0.0002972
88,1342.96,0.35463,0.37684,0.13603,0.00121,0.10845,0.99705,0.99285,0.995,0.96234,0.99705,0.99285,0.995,0.90438,0.2863,0.36222,0.09656,0.00173,0,0.0002774,0.0002774,0.0002774
89,1357.95,0.35494,0.36799,0.13573,0.00117,0.10343,0.99385,0.99404,0.99421,0.96387,0.99385,0.99404,0.99421,0.90678,0.28153,0.35919,0.10096,0.00169,0,0.0002576,0.0002576,0.0002576
90,1373.05,0.34804,0.36562,0.13392,0.00119,0.10299,0.99406,0.99682,0.99388,0.96374,0.99406,0.99682,0.99388,0.91334,0.28077,0.35953,0.10112,0.00169,0,0.0002378,0.0002378,0.0002378
91,1389.64,0.30884,0.35928,0.1112,0.00139,0.10535,0.99439,0.99642,0.99496,0.95973,0.99439,0.99642,0.99496,0.90868,0.28953,0.36211,0.09866,0.00172,0,0.000218,0.000218,0.000218
92,1405.31,0.31246,0.36082,0.1139,0.0014,0.10208,0.99634,0.99762,0.99499,0.95215,0.99634,0.99762,0.99499,0.90161,0.31462,0.36191,0.10237,0.00193,0,0.0001982,0.0001982,0.0001982
93,1420.65,0.29615,0.3553,0.11013,0.0013,0.09956,0.99574,0.99404,0.99498,0.96137,0.99574,0.99404,0.99498,0.90098,0.28928,0.35955,0.10073,0.00176,0,0.0001784,0.0001784,0.0001784
94,1436.01,0.29885,0.35448,0.10453,0.00131,0.09828,0.99641,0.99217,0.99496,0.96158,0.99641,0.99217,0.99496,0.91235,0.27901,0.36035,0.09676,0.00168,0,0.0001586,0.0001586,0.0001586
95,1451.54,0.29189,0.35216,0.09724,0.00127,0.1009,0.99659,0.99523,0.99499,0.96387,0.99659,0.99523,0.99499,0.91299,0.27877,0.36058,0.09714,0.00167,0,0.0001388,0.0001388,0.0001388
96,1466.72,0.2933,0.34688,0.10276,0.0013,0.10021,0.99298,0.99404,0.9949,0.95935,0.99298,0.99404,0.9949,0.90709,0.2932,0.36076,0.10377,0.00174,0,0.000119,0.000119,0.000119
97,1481.83,0.29162,0.35312,0.10149,0.00127,0.10218,0.99525,0.99848,0.99493,0.9646,0.99525,0.99848,0.99493,0.91054,0.27082,0.36024,0.09463,0.00162,0,9.92e-05,9.92e-05,9.92e-05
98,1497.1,0.284,0.35865,0.10229,0.00122,0.10356,0.99849,0.99523,0.99477,0.9657,0.99849,0.99523,0.99477,0.90888,0.27162,0.36028,0.09287,0.00161,0,7.94e-05,7.94e-05,7.94e-05
99,1512.18,0.27559,0.34814,0.09916,0.00121,0.0934,0.99707,0.99762,0.99414,0.96532,0.99707,0.99762,0.99414,0.90707,0.27404,0.35947,0.09471,0.00162,0,5.96e-05,5.96e-05,5.96e-05
100,1527.34,0.28679,0.36434,0.10169,0.00125,0.10461,0.99473,0.99881,0.99403,0.96567,0.99473,0.99881,0.99403,0.908,0.26975,0.3595,0.09377,0.00161,0,3.98e-05,3.98e-05,3.98e-05
